,year,age,sex,lfp,n,cohort,lfp_pred,lfp_se,lfp_pred2,lfp_se2,lfp_age_avg,lfp_pred3,lfp_se3
4369,1999,69,1,22.466387,4706,1930,24.1866045155,0.33526502989,24.1491716635,0.360154823053,21.859961,23.7851677772,0.0378943008118
4370,2000,69,1,24.308264,4657,1931,24.868020853,0.428659008771,24.7264088522,0.54786571303,21.859961,24.3851166986,0.0460561832879
4371,2001,69,1,24.83839,4532,1932,25.5544385891,0.55035387546,25.4037044478,0.820940578046,21.859961,24.9643306629,0.0562014048038
4372,2002,69,1,23.668066,5116,1933,26.2354446965,0.70148635738,26.1375820443,1.15951675358,21.859961,25.5090042062,0.0683286186844
4373,2003,69,1,26.927221,5137,1934,26.9010652552,0.883274067991,26.7932967879,1.53936252773,21.859961,26.006641916,0.0824239570869
4374,2004,69,1,26.754385,4937,1935,27.541955371,1.09701184094,27.1868848017,1.93387509286,21.859961,26.4465317781,0.0984664003959
4375,2005,69,1,27.53784,4845,1936,28.1495713584,1.34397202027,27.1614835907,2.31699531131,21.859961,26.8201280343,0.116426065757
4376,2006,69,1,30.983507,4958,1937,28.7163218198,1.62530275909,26.6598397398,2.66653873842,21.859961,27.1213179413,0.136260793793
4377,2007,69,1,26.439644,5319,1938,29.2356948365,1.94194616322,25.7558512764,2.9668149803,21.859961,27.3465585415,0.157913107901
4378,2008,69,1,29.575026,5749,1939,29.7023591287,2.29457677418,24.6299161152,3.20986883238,21.859961,27.4948812988,0.181308127764
4379,2009,69,1,28.109509,5603,1940,30.1122377094,2.68355685288,23.5024105992,3.39519166194,21.859961,27.5677727893,0.206352484513
4380,2010,69,1,29.557577,5489,1941,30.4625532491,3.10890524884,22.559109727,3.52817925849,21.859961,27.5689477431,0.232934132147
4381,2011,69,1,30.921618,5888,1942,30.7518450502,3.57027758942,21.9016519461,3.61788415098,21.859961,27.5040363286,0.260922924445
4382,2012,69,1,29.288868,6476,1943,30.9799581951,4.06695626453,21.5385450613,3.67468891868,21.859961,27.3802107578,0.290171835211
4383,2013,69,1,28.370888,6285,1944,31.1480060598,4.59784913782,21.4104484048,3.70842025981,21.859961,27.2057773188,0.320518712557
4384,2014,69,1,31.556595,6210,1945,31.2583079549,5.16149615882,21.4300828296,3.72718863408,21.859961,26.9897591331,0.351788467613
4385,2015,69,1,30.790638,6443,1946,31.3143041686,5.75608315987,21.5168713255,3.73697017442,21.859961,26.7414925628,0.383795604184
4386,2016,69,1,30.047205,8367,1947,31.3204511146,6.37946215169,21.6154802498,3.74174535428,21.859961,26.4702565785,0.416346999656
4387,1976,69,2,12.220769,5631,1907,11.0528130085,0.33528587795,11.6414022954,0.360166107057,12.249696,11.5233257717,0.038045404449
4388,1977,69,2,10.905203,6330,1908,10.960811515,0.268797729628,11.5704579141,0.265583218543,12.249696,11.464621681,0.031812025262
4389,1978,69,2,11.115096,6804,1909,10.8765098165,0.226577027768,11.4362907663,0.238166126204,12.249696,11.403377173,0.0274144638757
4390,1979,69,2,11.882831,7276,1910,10.8044786397,0.203661086903,11.2946570173,0.232963307588,12.249696,11.3446200276,0.0246040279214
4391,1980,69,2,11.577998,8174,1911,10.7491097268,0.193274653181,11.2066712681,0.228637659806,12.249696,11.293404684,0.0229991759323
4392,1981,69,2,11.306563,7378,1912,10.7144867047,0.18911136639,11.1940766321,0.223914853434,12.249696,11.2546384823,0.022172196845
4393,1982,69,2,10.790667,7616,1913,10.7042634502,0.187005279591,11.2164647497,0.221089327139,12.249696,11.2329319802,0.0217610701904
4394,1983,69,2,11.311134,7699,1914,10.7215531865,0.184964521542,11.199804845,0.220038510474,12.249696,11.2324753426,0.0215269129119
4395,1984,69,2,11.666341,7412,1915,10.7688312923,0.182467829494,11.1036124985,0.219454024527,12.249696,11.256939267,0.0213487345116
4396,1985,69,2,10.692081,7100,1916,10.8478544723,0.179786222542,10.9738174356,0.218791598194,12.249696,11.3093963139,0.0211893622699
4397,1986,69,2,10.67627,7141,1917,10.9595985201,0.177503168751,10.9306504049,0.218265299447,12.249696,11.3922571158,0.0210581893436
4398,1987,69,2,9.9657211,7242,1918,11.1042164354,0.176189676538,11.0907069655,0.218039108852,12.249696,11.5072158112,0.0209802368897
4399,1988,69,2,12.427977,7249,1919,11.281018125,0.176188135518,11.4794387699,0.218038911504,12.249696,11.6552001161,0.020974075623
4400,1989,69,2,12.48311,7638,1920,11.4884723586,0.177498565084,12.0036882758,0.218264697889,12.249696,11.8363234793,0.0210400952424
4401,1990,69,2,13.89323,7766,1921,11.7242310612,0.179778599719,12.5089200072,0.218790564515,12.249696,12.049839473,0.0211603595538
4402,1991,69,2,14.185391,8136,1922,11.9851754415,0.182457220482,12.8788881213,0.219452508672,12.249696,12.2941015761,0.0213100938047
4403,1992,69,2,12.011136,7334,1923,12.2674828734,0.18495091657,13.1024740695,0.220036445408,12.249696,12.5665343836,0.0214796292218
4404,1993,69,2,12.051965,7375,1924,12.5667129057,0.186988625859,13.2602542723,0.221086681581,12.249696,12.8636245653,0.0217053294567
4405,1994,69,2,12.762477,7377,1925,12.8779102684,0.189091642864,13.4477946048,0.223911684262,12.249696,13.1809411453,0.0221069683697
4406,1995,69,2,13.462491,6804,1926,13.1957223005,0.193252083522,13.7003417074,0.228634084201,12.249696,13.5131944893,0.0229221388232
4407,1996,69,2,13.410682,5850,1927,13.5145278504,0.203636495232,13.9772765132,0.23295943997,12.249696,13.8543415256,0.0245120666854
4408,1997,69,2,13.765184,5792,1928,13.8285744032,0.226552025909,14.2127680667,0.238161705656,12.249696,14.1977411906,0.0273046272996
4409,1998,69,2,14.727216,5724,1929,14.1321199878,0.268774191372,14.3856662476,0.265576637314,12.249696,14.5363591591,0.0316822259673
4410,1999,69,2,14.701173,5975,1930,14.4195763033,0.335265029888,14.548740244,0.360154823053,12.249696,14.8630151965,0.0378943008118
